datetime,S01_E_004,S01_E_053,S01_E_054,S01_E_055,S01_E_051,S01_E_052,S02_E_246,S02_E_249,S02_E_247,S02_E_250,S02_E_248,S02_E_251,S02_E_252,S02_E_253,S02_E_254,S02_E_255,S01_E_021,S01_E_022,F26_E_259,F28_E_262,F25_E_256,F25_E_257,F26_E_258,F26_E_261,F28_E_264,F26_E_260,F28_E_263,S01_E_057,S02_E_015,S02_E_016,F16_E_154,F16_E_155,F17_E_169,F17_E_170,F16_E_150,F16_E_156,F16_E_157,F16_E_158,F17_E_165,F17_E_171,F17_E_172,F17_E_173,F16_E_144,F16_E_147,F16_E_149,F17_E_159,F17_E_162,F17_E_164,F16_E_148,F17_E_163,F16_E_145,F16_E_146,F17_E_160,F17_E_161,F16_E_151,F16_E_152,F16_E_153,F17_E_166,F17_E_167,F17_E_168,S01_E_001,S01_E_002,S01_E_003,S02_E_005,S02_E_006,S02_E_007,S02_E_008,S01_E_049,S01_E_050,S01_E_058,S01_E_041,S01_E_048,S01_E_056,S01_E_059,S01_E_060,S01_E_061,S01_E_062,S01_E_027,S01_E_028,S01_E_063,S01_E_064,S01_E_065,S01_E_066,S01_E_067,S01_E_068,F01_E_073,F02_E_078,F03_E_083,F04_E_088,F05_E_093,F06_E_098,F07_E_103,F08_E_108,F09_E_113,F10_E_118,F11_E_123,F12_E_128,F13_E_133,F14_E_138,F15_E_143,F18_E_178,F19_E_183,F20_E_188,F21_E_193,F22_E_198,F23_E_203,F24_E_208,F25_E_213,F26_E_218,F28_E_223,S01_E_042,S03_E_035,F00_E_044,F00_E_069,F00_E_070,F01_E_036,F01_E_037,F01_E_040,F01_E_072,F02_E_076,F02_E_077,F03_E_081,F03_E_082,F04_E_086,F04_E_087,F05_E_091,F05_E_092,F06_E_096,F06_E_097,F07_E_101,F07_E_102,F08_E_106,F08_E_107,F09_E_111,F09_E_112,F10_E_116,F10_E_117,F11_E_121,F11_E_122,F12_E_126,F12_E_127,F13_E_131,F13_E_132,F14_E_136,F14_E_137,F15_E_141,F15_E_142,F18_E_176,F18_E_177,F19_E_181,F19_E_182,F20_E_186,F20_E_187,F21_E_191,F21_E_192,F22_E_196,F22_E_197,F23_E_201,F23_E_202,F24_E_206,F24_E_207,F25_E_211,F25_E_212,F26_E_216,F26_E_217,F27_E_221,F27_E_222,F28_E_225,F00_E_013,F00_E_014,F01_E_038,F01_E_039,F01_E_071,F02_E_074,F02_E_075,F03_E_079,F03_E_080,F04_E_084,F04_E_085,F05_E_089,F05_E_090,F06_E_094,F06_E_095,F07_E_099,F07_E_100,F08_E_104,F08_E_105,F09_E_109,F09_E_110,F10_E_114,F10_E_115,F11_E_119,F11_E_120,F12_E_124,F12_E_125,F13_E_129,F13_E_130,F14_E_134,F14_E_135,F15_E_139,F15_E_140,F18_E_174,F18_E_175,F19_E_179,F19_E_180,F20_E_184,F20_E_185,F21_E_189,F21_E_190,F22_E_194,F22_E_195,F23_E_199,F23_E_200,F24_E_204,F24_E_205,F25_E_209,F25_E_210,F26_E_214,F26_E_215,F27_E_219,F27_E_220,F28_E_224,S01_E_019,S01_E_045,S01_E_046,S02_E_011,S03_E_029,S01_E_018,S01_E_020,S01_E_023,S01_E_024,S01_E_025,S01_E_026,S01_E_047,S02_E_009,S02_E_010,S02_E_012,S03_E_030,S03_E_031,S03_E_032,S03_E_033,S03_E_034,F08_E_226,F08_E_227,F08_E_228,F08_E_229,F08_E_230,F08_E_231,F08_E_232,F08_E_233,F08_E_234,F08_E_235,F12_E_236,F12_E_237,F12_E_238,F12_E_239,F12_E_240,F12_E_241,F12_E_242,F12_E_243,F12_E_244,F12_E_245
01/01/2023,1041,0,248970,0,12,0,4324,4144,781,963,3256,3036,,,,,371,1008,433,53,34,32,462,343,52,101,0,1948,302,541,2,30,91,11,36,742,742,252,31,655,665,546,953,617,0,114,671,0,2167,2221,2214,328,677,307,24,29,40,24,31,43,1323,1306,525,1430,1062,1365,1162,82,62,499,14913,15125,25704,69,35,623,642,1078,943,31,167,711,1062,1130,1176,14746,5497,3701,3659,3724,3697,2660,3283,2577,2175,2402,2621,2207,2379,3326,2349,2053,1852,1673,1951,1990,1907,4817,2294,4670,12205,3570,218,1048,888,0,0,1908,349,327,376,235,1281,364,797,315,538,353,388,315,392,353,267,289,698,369,665,283,797,320,471,291,405,320,538,266,484,316,481,233,326,290,346,294,282,243,314,269,300,349,651,578,211,344,886,1228,76,2863,4019,181,0,459,609,1175,807,2465,801,1877,555,1446,909,368,1651,341,1788,814,1611,759,2037,1749,1985,329,2149,383,1990,345,1938,767,1753,393,1980,1478,811,1869,1092,1380,679,1702,621,1972,783,1925,909,892,1651,1246,1814,1951,541,1095,848,140,1715,332,57,2671,0,2208,1274,0,0,0,315,475,137,2166,2212,4692,7429,21,11,212,1,39,53,35,52,81,7,1629,833,604,0,35,28,32,43,106,13,862,1021,357
01/02/2023,930,0,202076,0,10,0,4158,3849,756,975,2932,2750,,,,,458,1032,421,41,32,39,464,333,36,98,4,1560,253,447,1,25,86,12,43,458,437,220,29,400,413,588,853,601,0,105,663,0,1506,1724,1929,292,475,274,22,26,36,22,28,40,1197,1172,473,1290,978,1249,1046,182,57,450,13343,13530,22937,31,32,1061,1121,1065,950,59,163,690,1041,1091,1122,11375,4415,2547,3179,2717,2881,1899,2360,2130,1486,1595,1690,1811,1600,1907,1589,1323,1218,1056,1258,1322,1199,3652,1555,4075,9820,3062,197,884,801,0,0,1644,215,284,367,209,720,314,561,276,516,314,338,280,341,340,215,253,584,331,544,254,738,280,463,263,374,288,502,240,483,279,445,221,310,234,307,258,253,220,285,238,286,312,638,487,217,305,788,1108,68,1879,3335,154,0,420,609,1063,732,1740,593,1478,479,1348,700,333,1354,332,1461,536,1284,542,1640,1630,1653,263,1837,381,1671,286,1623,673,1476,345,1670,1329,584,1691,659,1188,561,1542,496,1749,605,1767,682,805,1505,1233,1392,1779,494,1022,874,111,1407,140,38,2390,0,2148,1433,0,0,0,349,403,123,2083,1948,4402,6660,23,10,197,1,36,46,31,47,31,6,1180,480,513,0,31,24,27,37,79,39,499,508,332
01/03/2023,1022,114704,75932,291,11,0,4748,4370,996,1186,3261,3047,,,,,486,1102,390,93,35,34,472,375,87,25,7,1656,256,435,2,22,75,12,153,249,242,135,32,229,237,397,1057,625,0,104,544,0,1063,1184,1959,313,509,292,24,28,30,24,30,41,1325,1280,523,1421,1081,1383,1148,492,62,494,14578,14770,24995,32,34,1815,1802,1152,996,66,176,748,1115,1188,1247,7059,3188,1831,1814,2192,2449,2073,2191,1928,1061,1046,1144,1246,1188,1380,1160,921,936,705,940,953,934,2240,1340,3180,8987,2035,217,902,861,0,0,1836,290,333,389,234,450,342,470,284,573,241,368,200,359,251,188,269,500,355,409,264,804,299,415,279,361,358,482,255,455,307,388,225,319,285,330,282,270,242,307,252,304,337,727,540,241,302,913,1219,73,2815,2373,161,0,465,623,1127,739,1442,595,1312,444,1468,698,360,1644,369,1607,530,1298,493,1640,1947,1597,274,2012,432,1738,366,1781,798,1562,429,1896,1445,576,1876,782,1371,559,1502,546,1949,656,1952,751,874,1672,1241,1615,1960,540,1276,1140,89,1627,655,103,2426,0,2024,1530,0,0,0,300,486,136,2009,2113,4901,7528,32,11,217,1,51,47,47,52,0,5,850,558,493,0,108,24,29,40,69,30,243,245,277
01/04/2023,980,166834,0,0,11,0,4883,4673,937,1470,3315,3067,,,,,383,535,329,92,25,48,472,323,89,15,3,1376,222,340,2,15,62,8,168,335,221,353,31,181,209,367,854,504,0,84,409,0,1340,1002,1621,314,405,296,25,30,40,26,31,41,1297,1236,506,1370,1040,1342,1109,570,103,478,14159,14339,24253,19,33,1869,1782,856,741,65,148,561,829,861,929,5772,2814,1185,1642,1682,1897,822,1042,1101,1485,914,1040,1094,889,1130,1815,1182,1031,716,1010,1808,773,1464,1219,2449,5723,1471,210,911,800,0,0,1780,245,320,349,225,423,321,436,276,508,239,330,181,357,230,190,267,495,357,324,267,818,301,324,268,286,311,424,259,402,290,314,222,271,298,278,280,244,235,276,256,229,336,666,552,220,315,862,1205,61,2995,2164,168,0,452,583,1079,643,1341,538,1238,409,1362,543,303,1440,332,1464,503,1273,519,1474,1984,1286,248,1710,459,1415,335,1552,720,1326,430,1571,1178,571,1677,636,1166,416,1311,426,1677,524,1636,567,653,1357,971,1509,1843,408,1271,940,77,1258,524,42,2150,0,1779,1510,0,0,0,209,431,123,1548,1969,4868,7309,43,10,93,1,82,31,36,38,0,16,405,212,230,0,161,23,30,38,54,23,167,234,284
01/05/2023,1002,194052,0,0,11,0,5168,4573,1177,1407,3415,3029,,,0,0,391,545,388,104,33,39,491,373,94,25,10,1256,207,313,2,16,69,9,335,714,362,649,41,269,289,589,914,658,0,89,453,0,2226,1443,1913,323,507,300,65,62,92,71,62,88,1315,1274,520,1557,1050,1447,1122,831,374,494,14483,14676,24777,28,34,2692,2551,1101,945,67,165,702,1077,1131,1145,5179,2544,1592,1893,2063,1894,1385,1355,1506,2358,1413,1589,1648,1077,1752,3476,2166,1609,1484,1781,3524,1656,1821,1796,3385,3019,2286,216,907,812,0,0,1815,206,332,406,236,437,360,368,279,547,247,366,186,399,215,209,282,521,364,369,272,825,308,381,266,335,316,476,255,418,294,359,226,317,273,307,296,260,246,300,259,242,344,668,562,232,334,919,1306,63,3213,1487,138,0,510,624,1366,776,1546,570,1347,441,1585,653,434,1575,508,1622,1192,1365,812,1544,2455,1445,457,1877,799,1597,647,1735,967,1446,722,1722,1286,594,1718,875,1277,561,1357,469,1804,587,1688,678,651,1606,1082,1395,2285,481,1643,1604,53,2004,55,43,2270,0,1425,1570,0,0,0,284,444,129,1345,2004,4579,7413,60,11,130,1,239,74,81,93,0,23,286,198,457,0,325,53,54,71,50,86,283,355,513
01/06/2023,970,265552,0,0,11,0,4637,4694,1105,1743,3219,2812,40,38,55,79,390,540,380,95,59,47,499,332,89,59,6,976,169,293,2,13,53,6,484,1144,913,1339,288,990,860,1243,1522,531,0,115,369,0,4083,3550,1525,318,381,291,188,151,272,230,148,211,1269,1233,504,1508,1012,1358,1048,945,881,478,13877,14068,23745,32,34,4998,4853,976,887,65,165,686,1011,814,1117,7845,4862,4550,3755,4348,3727,3478,3721,3487,4261,3551,3752,3563,1616,3699,5969,4278,3456,3872,4216,5705,4152,4016,3502,5385,4455,2329,210,879,785,0,0,1784,201,330,384,229,340,349,302,270,478,239,334,181,342,209,310,275,439,352,342,251,791,299,318,258,344,308,445,233,387,314,321,237,297,260,271,268,239,244,264,253,235,334,639,607,223,304,915,1250,62,3050,1599,108,0,540,567,2092,662,1902,469,1807,398,2103,505,832,1505,1135,1366,2906,1318,1523,1303,2915,1303,1122,1709,1252,1402,1239,1540,1234,1340,1318,1527,1863,442,2178,697,1847,447,2012,406,2281,429,2302,594,1402,1419,1265,1987,2467,412,1097,1069,11,1823,65,59,2062,0,2243,1440,0,0,0,221,474,124,1223,1917,5211,6925,74,10,127,1,414,251,170,215,0,25,1060,913,1087,0,484,174,137,171,34,16,1062,929,1144
01/07/2023,1009,306628,0,0,11,0,5307,5017,1452,1961,3363,2923,40,40,61,77,394,549,324,68,26,30,497,305,67,28,1,1208,191,300,24,12,40,5,593,1394,1170,1642,400,1345,1140,1597,1650,471,0,124,357,0,4886,4638,1445,320,385,308,165,155,268,241,152,215,1322,1270,521,1504,1050,1384,1076,1035,1070,495,14097,14295,24072,84,35,6536,6449,1025,867,65,160,605,718,1053,820,10921,5624,6397,4897,5586,5114,4542,5174,4225,5165,4809,4511,4522,2082,4579,7056,5213,4091,4771,5528,6554,5517,5105,4595,6068,6428,2629,217,859,811,0,0,1828,200,337,403,233,455,363,309,287,535,248,327,186,352,215,318,287,454,368,352,257,650,312,322,269,275,321,459,244,431,321,309,250,277,272,265,274,239,258,261,263,263,348,671,670,220,308,906,1209,63,3090,1954,115,0,580,396,2295,686,2161,461,1836,421,2186,477,842,1514,1449,1528,3121,1356,1723,1327,3079,1333,1317,1784,1517,1345,1411,1473,1452,1390,1416,1607,1934,436,2460,799,1922,426,2157,347,2581,447,2531,579,1534,1462,1348,1093,2533,298,1226,623,2,1916,50,79,1860,0,2481,1498,0,0,0,120,439,130,1429,1957,5351,6861,99,11,119,1,520,228,173,205,0,26,1522,1384,1612,0,623,185,141,187,86,14,1320,1036,1540
01/08/2023,1014,283564,0,0,11,0,5574,4871,1544,1862,3335,2884,46,36,66,72,410,567,224,58,24,29,449,225,57,5,0,525,97,155,34,8,36,5,570,1249,1073,1523,351,1244,1139,976,1634,411,0,115,311,0,4558,3925,1362,316,431,313,163,154,275,247,143,203,1323,1213,521,1480,1049,1378,1071,1032,1070,490,13776,13973,23486,68,35,6203,6064,754,680,64,162,561,728,810,578,8738,5448,5427,4266,4822,4513,4140,4297,3750,4822,4063,4264,4030,1756,4453,6636,5023,4042,4337,5045,6302,4505,4820,4106,5598,5344,2456,217,834,806,0,0,1769,191,338,357,232,341,356,277,280,457,247,300,186,309,216,272,258,413,366,297,252,626,308,264,266,251,318,334,241,375,297,226,237,195,282,179,256,172,258,172,261,185,345,401,668,198,303,733,1212,62,3299,1916,112,0,551,446,2222,554,1962,474,1774,434,1990,457,831,1473,1495,1442,3106,1257,1668,1310,3037,1298,1240,1734,1453,1362,1391,1406,1298,1261,1340,1569,1817,471,2340,757,1820,421,1979,434,2381,404,2400,607,1387,1178,1319,1041,2252,247,1198,633,6,1434,59,62,1901,0,2473,1486,0,0,0,64,439,130,1250,1779,5220,6692,128,11,108,1,527,224,162,210,0,23,1243,1097,1289,0,595,182,188,194,34,13,1229,1076,1324
01/09/2023,984,247350,0,0,11,0,5060,4786,1192,1854,3234,2794,39,40,56,79,369,520,301,95,31,35,482,307,91,2,5,1460,217,360,42,11,41,6,490,986,830,1116,218,836,812,914,1505,415,0,104,344,0,3599,3091,1463,282,431,305,156,147,247,226,131,183,1278,1153,504,1444,1020,1343,1038,944,1035,470,13152,13390,22379,78,34,4629,4281,970,847,62,155,517,961,1011,1063,6105,4373,4087,3135,3233,3434,3064,3154,2886,3978,3153,3284,3116,1526,3526,5584,3980,3175,3264,3794,5184,3806,3413,2770,4553,3117,2364,196,784,755,0,0,1690,173,330,346,224,307,298,269,239,511,238,285,180,299,209,265,242,397,355,298,247,646,299,275,259,301,304,396,233,366,294,257,228,244,240,204,258,190,249,197,252,203,334,533,617,219,295,845,1192,57,3208,1648,140,0,518,392,2039,640,1768,555,1692,452,1831,562,804,1701,1334,1569,2977,1376,1541,1343,2874,1359,1129,1737,1308,1505,1222,1474,1203,1368,1219,1604,1745,493,2264,764,1682,493,1832,396,2272,526,2143,654,1295,1349,1246,1679,2320,350,1068,681,9,1526,82,72,1768,0,2326,1153,0,0,0,522,427,124,1254,1944,4892,6390,260,11,105,1,472,204,150,203,0,25,853,808,871,0,493,174,181,190,42,14,902,799,1082
01/10/2023,1008,209052,0,13,11,0,5303,4682,1247,1658,3320,2869,43,43,62,85,325,468,446,91,35,45,494,332,87,125,4,1731,248,418,49,12,39,6,430,518,538,583,122,413,464,512,1236,421,0,91,376,0,2222,1866,1622,306,532,316,104,101,163,149,93,120,1326,1209,516,1526,1040,1418,1081,890,769,484,13640,13866,23184,75,35,3018,2757,1048,908,64,165,544,999,1064,1127,3622,3001,2231,2251,1988,2264,1808,1630,1806,2511,1894,1998,1865,974,2195,4038,2643,1883,1934,2332,4070,2448,2677,2035,4201,2079,2785,155,801,732,0,0,1714,256,341,317,234,334,252,241,262,523,246,276,190,287,224,271,258,425,369,329,267,562,320,313,284,320,324,442,258,377,323,269,246,261,304,225,280,192,256,216,262,208,348,589,635,195,306,778,1197,39,3226,1438,170,0,459,499,1582,717,1600,639,1659,493,1462,701,594,1847,874,1512,2290,1452,1219,1547,2588,1519,827,1927,1048,1716,920,1686,1108,1612,996,1741,1426,539,2054,882,1381,546,1446,479,2027,641,1983,715,974,1511,1139,1414,2275,498,754,824,39,1672,46,242,2041,0,2263,1226,0,0,0,446,350,116,1336,2050,5417,6476,433,11,164,1,384,134,96,137,0,28,447,386,480,0,439,120,114,134,44,17,498,433,620
01/11/2023,1009,168430,2216,286,11,0,4227,3258,910,939,2630,2178,47,35,68,71,328,456,524,96,40,43,461,341,90,197,6,1727,263,477,53,12,55,9,147,133,154,231,31,162,156,298,595,413,0,29,388,0,940,962,1660,344,555,293,24,28,38,25,29,39,1347,1218,526,1569,1035,1487,1109,315,74,466,13394,13577,22757,47,33,1570,1498,1013,887,62,154,553,981,1040,1074,9447,2490,1715,1967,1709,2079,1139,1046,1150,1039,808,685,1117,650,1371,2628,844,540,500,639,2291,911,1336,1023,2728,7160,2540,150,815,728,0,0,1610,297,330,356,232,678,225,260,299,441,238,265,199,296,223,323,296,523,353,327,286,549,325,292,283,295,324,416,272,372,303,928,234,235,294,223,280,189,250,207,282,211,331,666,629,198,297,751,1155,37,3256,1539,195,0,387,496,1094,769,1683,652,1158,460,847,696,352,1827,333,1466,1161,1521,536,1635,1790,1542,270,1936,112,1649,353,1580,685,1725,417,1731,1667,640,720,1034,764,542,929,523,1300,623,1293,777,330,1658,854,1079,1945,504,637,784,102,1440,115,97,2378,0,1953,1195,0,0,0,377,385,87,1386,2052,4830,6153,84,10,150,1,76,25,35,39,0,31,213,245,197,0,83,24,28,38,60,20,152,117,197
01/12/2023,1061,207792,0,0,11,0,3439,2348,428,658,2007,1529,38,40,57,82,367,489,441,100,27,32,459,301,97,153,3,1968,277,475,45,13,50,8,49,558,536,249,33,543,571,415,501,369,0,26,454,0,1734,1883,1583,358,521,300,25,29,42,27,32,41,1350,1285,526,1604,1089,1525,1163,135,63,481,13706,13904,23270,45,34,1103,1062,778,670,64,148,463,716,806,809,13100,4247,3124,3530,3382,3334,2338,1915,2390,1942,1972,1643,1730,1286,3740,3544,1567,1419,887,1597,2964,1666,2571,1697,2723,13309,2677,156,851,761,0,0,1581,269,322,356,242,1050,235,511,315,405,246,249,206,328,225,311,312,610,370,332,301,646,343,227,299,258,339,334,286,300,311,1014,266,203,306,211,294,422,253,192,298,190,346,571,668,198,309,779,1226,42,3300,2170,242,0,380,550,1142,726,2083,684,1440,433,873,702,498,1983,356,1497,1023,2006,521,1774,1798,1552,252,1855,319,1591,282,1507,614,1548,369,1682,1696,571,630,952,479,495,1399,575,692,585,1250,744,329,1520,826,1241,1896,491,1090,965,120,2466,54,62,2093,0,1614,1340,0,0,0,404,395,92,1520,2055,4768,6077,22,11,103,1,36,29,38,42,0,28,724,577,210,0,40,27,30,41,54,19,664,538,227